AVAILABILITY_365;CALCULATED_HOST_LISTINGS_COUNT;HOST_ID;HOST_NAME;ID;LAST_REVIEW;LATITUDE;LONGITUDE;MINIMUM_NIGHTS;NAME;NEIGHBOURHOOD;NEIGHBOURHOOD_GROUP;NUMBER_OF_REVIEWS;PRICE;REVIEWS_PER_MONTH;ROOM_TYPE
0;1;21365233;Maija;8586752;31/03/2016;52.528.411.738.813.200;13.392.534.057.803.800;2;Perfect apartment in Berlin Mitte;Brunnenstr. Süd;Mitte;1;80;0.03;Entire home/apt
0;1;147928373;Barbara;20674595;16/09/2018;5.253.340.794.440.350;13.391.944.106.254.400;7;Perfect modern apartment in mitte berlin;Brunnenstr. Süd;Mitte;14;80;1.04;Entire home/apt
179;13;47779600;Urs Und Ila;28673841;;52.532.369.379.739.600;13.423.652.426.536.500;62;Charming spacious backyard flat central spot RAY;Prenzlauer Berg Süd;Pankow;0;80;;Entire home/apt
151;2;5452247;Stefan;13166569;17/09/2018;52.494.729.756.696.600;13.393.657.523.938.600;2;Room in 90m² Masterpiece-Loft in scenic Kreuzberg;Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;97;80;3.45;Private room
0;1;103944871;Frank;20821921;26/10/2017;5.249.560.762.465.140;1.334.338.065.557.920;7;Quiet Place in the City;Schöneberg-Nord;Tempelhof - Schöneberg;1;80;0.08;Entire home/apt
129;1;139660630;Fritz;19781919;04/11/2018;5.249.791.234.227.340;13.436.407.622.166.700;3;Kreuzberg | Görlitzer Park | Wrangelkiez;südliche Luisenstadt;Friedrichshain-Kreuzberg;69;80;4.33;Entire home/apt
352;1;16507286;Carsten;5313598;15/06/2018;5.248.684.283.436.650;13.364.499.934.759.800;28;Modern 3-room-apartment in Berlin;Schöneberg-Süd;Tempelhof - Schöneberg;9;80;0.3;Entire home/apt
28;1;27047894;Werner;17776269;30/09/2018;5.249.627.590.198.310;13.412.808.351.961.200;3;Dachgeschoss Dachterrasse Panorama Kreuzberg;Südliche Friedrichstadt;Friedrichshain-Kreuzberg;11;80;0.74;Entire home/apt
67;1;13181498;Vivien;2574193;15/04/2015;5.250.053.749.536.650;13.436.968.186.304.500;7;Beautiful and charming apartment;nördliche Luisenstadt;Friedrichshain-Kreuzberg;3;80;0.06;Entire home/apt
344;2;79312888;Songül;18543905;17/10/2018;52.540.635.431.314.000;13.351.960.147.122.600;2;Wohnen im Herzen vom Wedding;Wedding Zentrum;Mitte;28;80;1.59;Entire home/apt
152;2;207122364;Charlotte;28753801;10/10/2018;52.539.556.730.961.300;13.417.189.727.071.100;4;Gemütliche Altbauwohnung im Herzen PrenzlauerBergs;Prenzlauer Berg Südwest;Pankow;1;80;1.0;Entire home/apt
0;1;23281364;Johannes;4487295;;5.250.068.689.494.570;13.333.882.285.347.900;1;beste Lage Berlins;Kurfürstendamm;Charlottenburg-Wilm.;0;80;;Private room
0;1;4618658;Namy;23645578;13/08/2018;52.533.642.680.877.800;134.048.361.109.858;4;Kastanienallee Apartment;Brunnenstr. Süd;Mitte;4;80;0.53;Entire home/apt
256;7;207062664;Olaf;28776573;;5.254.443.970.143.150;1.341.185.416.248.060;1;3 Personen Zimmer in kleiner Pension;Prenzlauer Berg Nordwest;Pankow;0;80;;Private room
0;1;7927956;Liese;5844422;24/10/2016;525.417.531.994.422;13.414.700.509.558.500;6;nestled among the rooftops;Helmholtzplatz;Pankow;5;80;0.18;Entire home/apt
0;1;3567548;Hanneke;696647;11/04/2016;52.538.716.314.674.700;13.405.154.970.513.400;3;Beautiful Arkonaplatz, Berlin-Mitte;Brunnenstr. Süd;Mitte;8;80;0.13;Private room
365;3;198237742;Giulia;28797689;;5.252.273.412.200.810;134.056.040.199.121;28;Cozy Home In Berlin's Best Location;Alexanderplatz;Mitte;0;80;;Private room
0;1;20806588;Silke;14018207;01/08/2017;52.491.140.070.901.700;1.343.328.935.951.520;2;big Family home with Balcony (24qm) in Kreuzkölln;Reuterstraße;Neukölln;3;80;0.19;Entire home/apt
0;1;2311539;Noam;23107238;;52.493.099.749.894.100;13.429.501.480.804.800;4;2 beautiful room apartment  on Xberg canal !;Reuterstraße;Neukölln;0;80;;Entire home/apt
22;1;19091626;Jahed;28852016;04/11/2018;52.510.784.284.848.800;13.452.289.196.121.600;2;Warschauer Str. Apartment - nice and central;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;5;80;5.0;Entire home/apt
0;1;136376910;Tima;19449472;;52.525.693.390.287.300;13.405.505.623.729.700;5;Perfekte Unterkunft für eine Familie;Alexanderplatz;Mitte;0;80;;Entire home/apt
0;2;396953;Simone & Stefan;19629528;16/09/2018;5.248.592.394.862.060;13.373.290.948.631.500;2;Modern and spacious flat steps away from the park;Schöneberg-Süd;Tempelhof - Schöneberg;11;80;0.69;Entire home/apt
0;1;51421188;Fritz;10012243;28/05/2018;5.248.730.236.073.330;13.432.805.468.795.100;3;Raw / Minimalist Apartment Neukölln;Reuterstraße;Neukölln;13;80;0.42;Entire home/apt
57;1;217630998;Victoria;28865281;29/10/2018;5.250.564.715.368.360;13.469.322.967.374.600;1;Beautiful Ostkreuz Loft Apartment with terrace;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;6;80;6.0;Entire home/apt
0;1;5109166;Klaus;2443247;25/08/2016;5.250.647.217.517.560;13.465.121.204.649.600;10;Spacious und bright family-flat ;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;4;80;0.08;Entire home/apt
0;1;122638142;Martin & Charley;17899087;18/06/2017;5.252.811.079.579.590;13.341.962.457.364.400;2;Large Midcentury Style Berlin Altbau - Moabit;Moabit West;Mitte;4;80;0.21;Entire home/apt
132;5;39213221;Dirk;19666988;20/08/2018;5.252.694.833.911.920;1.340.321.229.481.730;2;Pension am Fernsehturm/Hans Hartung;Alexanderplatz;Mitte;9;80;0.57;Entire home/apt
282;1;21697870;Tim;8537772;19/10/2018;524.741.866.451.085;13.321.474.324.781.800;2;Feel comfortable at ease in a central location;Friedenau;Tempelhof - Schöneberg;125;80;3.94;Entire home/apt
26;1;28152285;Zoe;24010257;30/07/2018;5.249.920.998.000.640;13.465.778.116.704.200;2;Sunny 3-room apartment with Balcony Ostkreuz;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;7;80;1.17;Entire home/apt
50;1;21370048;Chris;24010707;02/11/2018;52.548.664.754.385.700;13.419.210.336.175.900;3;Two rooms in perfect location to discover Berlin;Prenzlauer Berg Nord;Pankow;18;80;2.71;Private room
0;2;2480274;Marfisa;795924;;5.254.202.931.408.790;13.414.222.022.031.100;22;Cool Location: Kulturbrauerei ;Helmholtzplatz;Pankow;0;80;;Entire home/apt
67;1;147400872;Melanie;28908397;;5.262.668.457.771.980;13.330.788.509.331.300;2;Ruhiges Ferienhaus im Grünen am Berliner Stadtrand;Nord 1;Reinickendorf;0;80;;Entire home/apt
179;2;217811679;Aida;28914474;;5.250.293.285.176.340;13.343.584.351.649.700;2;Beautiful apartment in the heart of Schöneberg!;Schöneberg-Nord;Tempelhof - Schöneberg;0;80;;Entire home/apt
